Event name,Image,Date,Time,Place,Price,Attendees,Tags,Views count
Космічний хакатон NASA Space Apps Challenge 2023 (Дніпро) (подія в архіві),https://s.dou.ua/CACHE/images/img/events/image_2023_08_22T13_11_01_569Z/4748256141b43ad5a245dfe246f63b4c.png,7 — 8 жовтня 2023,,Онлайн,безкоштовно,"https://dou.ua/users/yana-hrabar/, https://dou.ua/users/serhi-khara/","junior, змагання, кар’єра, технології, хакатон",595
Конференція BA IT Rally (подія в архіві),https://s.dou.ua/CACHE/images/img/events/1080_1080_All_speakers/f960526cd8b396256968ae9c60eb9dd5.png,7 жовтня 2023 (субота),10:30,"Київ, вул. Саксаганського, 1, Campus Community",1000 грн,"https://dou.ua/users/maria-tkachuk-2/, https://dou.ua/users/mihajlo-zhukovskij/, https://dou.ua/users/anar-lavrenov/","BA, кар’єра, конференція",402
Crash Course: Chief Technology Officer (подія в архіві),https://s.dou.ua/CACHE/images/img/events/%D1%84%D0%B1_GKr0Gdi/1b8e03a55ffd96bd6785a32ca98409f4.png,7 — 8 жовтня 2023,,online,від 5500 грн,"https://dou.ua/users/mila-mazur/, https://dou.ua/users/anna-loseva-1/, https://dou.ua/users/yuliia-bulinok/, https://dou.ua/users/san/, https://dou.ua/users/natalya-korshun/, https://dou.ua/users/nataliia-lukashuk/","кар’єра, курси",101
AMO Creative Internship (подія в архіві),https://s.dou.ua/CACHE/images/img/events/1_horizontal_1/523b8181146eab478efde072dd78fdc2.png,6 жовтня 2023 (п'ятниця),,Київ,оплачуване стажування,"https://dou.ua/users/olena-prysiazhna/, https://dou.ua/users/vika-shtefan/, https://dou.ua/users/dariya-dikun-1/, https://dou.ua/users/uodstg-koyiu-ryeruyhfd/, https://dou.ua/users/kit-koshak/, https://dou.ua/users/alona-yanovskaya/, https://dou.ua/users/anna-anna-36/, https://dou.ua/users/olia-zhenchak/, https://dou.ua/users/anna-hovorkova/, https://dou.ua/users/viktoria-kudrytska/, https://dou.ua/users/oleg-zabolotnii/, https://dou.ua/users/anastasia-ivanchenko/, https://dou.ua/users/anatolii-bashlayev/, https://dou.ua/users/margarita-litvinchuk/, https://dou.ua/users/valeriya-vakulenko/","кар’єра, курси, маркетинг",3172
DevOps Stage 2023 ⇒ Online conference on Cloud Architecture and DevOps (подія в архіві),https://s.dou.ua/CACHE/images/img/events/1200x628_jveIS0r/a8ce9d56069fcf4e27a0c0dfc4ec04f4.png,06 October 2023 (Friday),,Online,Free registration or Donate 20-100$,"https://dou.ua/users/alexandr-lutsenko-1/, https://dou.ua/users/yevheniiustiuhov/, https://dou.ua/users/dmitry-solom/, https://dou.ua/users/dmytro-hnatiuk-2/, https://dou.ua/users/dmitriy-romanutskyi/","DevOps, кар’єра, конференція, технології",374
Безкоштовний практикум «Спробуй себе у ролі тестувальника» (подія в архіві),https://s.dou.ua/CACHE/images/img/events/6_Jg6aK2N/58ad215eaecf4bf4f9bd46550f9555be.png,6 жовтня 2023 (п'ятниця),19:00,онлайн,безкоштовно,"https://dou.ua/users/elena-petrosiuk/, https://dou.ua/users/v-hrinenko/","junior, QA, вебінар, кар’єра, тестування, технології",255
Стажування Digital Recruiting 2.0 (подія в архіві),https://s.dou.ua/CACHE/images/img/events/Digital_840_x_460_%D0%BF%D0%B8%D0%BA%D1%81./557639c5ed791fb9aca15922342733f5.png,6 жовтня 2023 (п'ятниця),,Онлайн,Безкоштовно,,"HR, кар’єра, курси, менеджмент",216
Фінансовий воркшоп (подія в архіві),https://s.dou.ua/CACHE/images/img/events/IMG_20230911_141952_832/08b004f43ae7b3b2479ba8c30969f81d.png,6 жовтня 2023 (п'ятниця),10:00,"Одеса, Грецька, 1а",благодійний внесок,,"бізнес, воркшоп",158
Відкрита зустріч із командою Мінцифри (подія в архіві),https://s.dou.ua/CACHE/images/img/events/%D0%97%D1%83%D1%81%D1%82%D1%80%D1%96%D1%87_%D1%96%D0%B7_%D0%9C%D1%96%D0%BD%D1%86%D0%B8%D1%84%D1%80%D0%B8/1f50d2b05c1bf5a877f599fcb5ac9e46.png,6 жовтня 2023 (п'ятниця),17:30,Дніпро. Організатори надішлють деталі в день заходу.,безкоштовно,,"кар’єра, мітап, технології",133
Онлайн-подія «IT-продукти: як виводити бізнес на міжнародні ринки» (подія в архіві),https://s.dou.ua/CACHE/images/img/events/IT_Products_-_online_event_-_post/f5207f4f0ac894ff2fd37c43e90f3292.png,6 жовтня 2023 (п'ятниця),14:00,Онлайн,Безкоштовно,"https://dou.ua/users/oleh-valiiev/, https://dou.ua/users/igor-agostini/, https://dou.ua/users/aleksej-bogdanov/","бізнес, вебінар, кар’єра",97
Вебінар «SwiftUI проти UIkit. Що краще вивчати у 2023/24?» (подія в архіві),https://s.dou.ua/CACHE/images/img/events/creo_1/3ed9a727ad59a8b40726084e7915ae9f.png,6 жовтня 2023 (п'ятниця),18:00,online,Безкоштовно,,"iOS, mobile, вебінар, технології",67
"НАБІР ЗАВЕРШЕНО! Індивідуальне стажування на позицію JavaScript Developer (TypeScript, React, Node.js) від SysGears (подія в архіві)",https://s.dou.ua/CACHE/images/img/events/%D0%9B%D0%BE%D0%B3%D0%BE%D1%82%D0%B8%D0%BF__8ClH1wS/de9d7c625f2c7b0f9aab7ffc7505cf38.png,5 жовтня 2023 (четвер),,Дніпро,безкоштовно,"https://dou.ua/users/some1/, https://dou.ua/users/horolskij-pavel/, https://dou.ua/users/petro-shutak/, https://dou.ua/users/kostyantin-krysenko/, https://dou.ua/users/andrii-didovych-1/, https://dou.ua/users/misha-podgorny/, https://dou.ua/users/oleksandr-kushnirenko-1/","JavaScript, node.js, кар’єра, курси",861
🎤 DOU Voice Chat: AWS Security — виявлення помилок безпеки в конфігуруванні інфраструктури (подія в архіві),https://s.dou.ua/CACHE/images/img/events/event_KnlVYxW/b26943ccc42c324bfc998e802a943e86.png,5 жовтня 2023 (четвер),19:00,DOU | DevOps,безкоштовно,"https://dou.ua/users/mariya-dzvinka/, https://dou.ua/users/kristina-malysheva/, https://dou.ua/users/elena-ivannikova/, https://dou.ua/users/kozub-viacheslav/, https://dou.ua/users/olena-gorodetska/, https://dou.ua/users/dima-volokh/, https://dou.ua/users/dima-kostuchenko/, https://dou.ua/users/nikita-notych/, https://dou.ua/users/daniil-vodopyanov/, https://dou.ua/users/gleb-afanasev/, https://dou.ua/users/dima-sudorov/, https://dou.ua/users/tymofii-kharlamov/, https://dou.ua/users/oleg-chulanov/, https://dou.ua/users/konstantin-kuzin-1/, https://dou.ua/users/vladimir-rogovenko-1/, https://dou.ua/users/aleksandr-tverdohleb/, https://dou.ua/users/artem-oliinyk-3/, https://dou.ua/users/iryna-nazaruk/, https://dou.ua/users/nikolaj-shenderetskij/, https://dou.ua/users/griffin-sun/, https://dou.ua/users/yaroslav-sapak/, https://dou.ua/users/dmytro-hnatiuk-2/, https://dou.ua/users/igor-tkachuk-3/, https://dou.ua/users/yevhen-opshinsky/, https://dou.ua/users/oleg-bil/, https://dou.ua/users/andrij-vorobjov/, https://dou.ua/users/roman-rudyk-1/, https://dou.ua/users/evgenij-vereschagin/, https://dou.ua/users/oleksandr-saichuk/, https://dou.ua/users/olena-shcheglova/, https://dou.ua/users/dmitrii-tulupov/, https://dou.ua/users/ilya-kuznetsov-3/, https://dou.ua/users/valeriia-nikolaienko-1/, https://dou.ua/users/serhiy-honcharov/, https://dou.ua/users/zinaida-usikova/, https://dou.ua/users/oleksandr-krokhmalnyi/, https://dou.ua/users/vitalii-korniichuk/, https://dou.ua/users/vvickod/, https://dou.ua/users/olena-myhul/, https://dou.ua/users/anastasiia-hretchenko-1/, https://dou.ua/users/viktor-bazar/, https://dou.ua/users/yana-chepyk/, https://dou.ua/users/oleksandr-myroniuk-1/, https://dou.ua/users/kolya-avramuk/","cloud, DevOps, DOU events, voice chat, безпека, кар’єра, технології",557
Вебінар «Ви прийняті» (подія в архіві),https://s.dou.ua/CACHE/images/img/events/collab/8e051ea633e801d3e1e0313c47625e9e.png,5 жовтня 2023 (четвер),18:00,online,Безкоштовно,"https://dou.ua/users/kseniia-kokhan/, https://dou.ua/users/toma-povolyashko/, https://dou.ua/users/r0-rite/, https://dou.ua/users/kateryna-zharova/, https://dou.ua/users/tatyana-benderskaya/","вебінар, кар’єра",189
